Time;Title;URL;Language;Location;Duration
Nov 20;Planning experimental designs, repeated measurements, and their analyses in R;-;Eng;Universität Kassel via ;2d
Nov 20;Data science for life sciences with R (part 1);https://biometrie-bmel.de/Kursinhalt?Kurs=2066;Ger;Thünen-Institut, Braunschweig via ;3d
Oct 2020;Experimental Design - Practicals in R;-;Eng;CIHEAM Zaragoza via ;5d
Mar 2020;Real‑time consultation on statistics and mixed models in R;https://www.uni-kassel.de/fb11agrar/fileadmin/datas/fb11/Tropenzentrum/Bilder/Realtime_consultation_on_statistics_Statistics_Workshop_for_PhDs_March_2020.pdf;Eng;Universität Kassel;2d
Dec 2019;Basics of applied statistics;-;Ger;Universität Rostock;2d
Nov 19;Data science for life sciences with R (part 2);https://biometrie-bmel.de/Kursinhalt?Kurs=2042;Ger;Thünen-Institut, Braunschweig;3d
Oct 2019;Data science for life sciences with R (part 1);https://biometrie-bmel.de/Kursinhalt?Kurs=2041;Ger;Thünen-Institut, Braunschweig;3d
Sep 19;Essential basics of statistics;https://www.uni-rostock.de/universitaet/kommunikation-und-aktuelles/presse-und-kommunikationsstelle/veranstaltungskalender/detailansicht/n/elementare-grundlagen-der-statistik-essential-basics-of-statistics-48759/;Ger;Universität Rostock;2d
Nov 18;Mixed models with R;https://biometrie-bmel.de/Kursinhalt?Kurs=2045;Ger;Thünen-Institut, Braunschweig;3d
May 2018;Implementation of yield stability assessment with ASReml‑R;-;Eng;Bangladesh Rice Research Institute, Gazipur;1d
2016‑2018;Statistical analysis with SAS (monthly);-;Eng;Universität Hohenheim, Stuttgart;3d
2016‑2018;Statistical analysis with R (monthly);-;Eng;Universität Hohenheim, Stuttgart;3d
